user_count,pdu_sessions_per_user,npu_count,npu_capacity_per_npu_rps,npu_total_capacity_rps,npu_hbm_per_npu_gb,npu_total_hbm_gb,total_rps,eligible_intent_ratio,intent_eligible_rps,actual_total_intent_share,intent_rps,cpu_ms_per_request,cpu_core_demand,cpu_utilization,cpu_status,ram_gb,ram_utilization,memory_traffic_gbps,npu_utilization,npu_status,npu_hbm_gb,npu_hbm_utilization,required_npus_for_70pct_util,network_bandwidth_gbps,network_utilization,network_status,mean_latency_ms,p95_latency_ms,p99_latency_ms,system_status,initial_registration_per_user_per_hour,initial_registration_rps,periodic_registration_per_user_per_hour,periodic_registration_rps,mobility_registration_per_user_per_hour,mobility_registration_rps,initial_pdu_session_establishment_per_user_per_hour,initial_pdu_session_establishment_rps,pdu_session_release_per_user_per_hour,pdu_session_release_rps,pdu_session_modification_per_user_per_hour,pdu_session_modification_rps,service_request_per_user_per_hour,service_request_rps,an_release_per_user_per_hour,an_release_rps,handover_per_user_per_hour,handover_rps,paging_per_user_per_hour,paging_rps
3600000.000,2.000,8.000,2000.000,16000.000,32.000,256.000,104300.000,0.000,24000.000,0.000,0.000,1.504,156.820,0.613,stable,32.248,0.126,53.402,0.000,stable,0.000,0.000,0,6.779,0.068,stable,22.857,95.140,128.439,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,2000.000,16000.000,32.000,256.000,104300.000,0.010,24000.000,0.002,240.000,1.507,157.228,0.614,stable,32.248,0.126,54.262,0.015,stable,16.008,0.063,1,6.802,0.068,stable,22.910,95.845,129.391,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,2000.000,16000.000,32.000,256.000,104300.000,0.050,24000.000,0.012,1200.000,1.523,158.860,0.621,stable,32.248,0.126,57.702,0.075,stable,16.038,0.063,1,6.894,0.069,stable,23.121,98.742,133.302,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,2000.000,16000.000,32.000,256.000,104300.000,0.100,24000.000,0.023,2400.000,1.543,160.900,0.629,stable,32.248,0.126,62.003,0.150,stable,32.075,0.125,2,7.010,0.070,stable,23.390,102.536,138.423,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,2000.000,16000.000,32.000,256.000,104300.000,0.200,24000.000,0.046,4800.000,1.582,164.980,0.644,stable,32.248,0.126,70.605,0.300,stable,48.150,0.188,4,7.240,0.072,stable,23.947,110.759,149.524,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,2000.000,16000.000,32.000,256.000,104300.000,0.500,24000.000,0.115,12000.000,1.699,177.220,0.692,stable,32.248,0.126,96.410,0.750,degraded,96.375,0.376,9,7.931,0.079,stable,25.821,180.746,244.007,degraded,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,2000.000,16000.000,32.000,256.000,104300.000,1.000,24000.000,0.230,24000.000,1.895,197.620,0.772,degraded,32.248,0.126,139.418,1.500,unstable,128.750,0.503,18,9.083,0.091,stable,inf,inf,inf,unstable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,3000.000,24000.000,32.000,256.000,104300.000,0.000,24000.000,0.000,0.000,1.504,156.820,0.613,stable,32.248,0.126,53.402,0.000,stable,0.000,0.000,0,6.779,0.068,stable,22.857,95.140,128.439,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,3000.000,24000.000,32.000,256.000,104300.000,0.010,24000.000,0.002,240.000,1.507,157.228,0.614,stable,32.248,0.126,54.262,0.010,stable,16.008,0.063,1,6.802,0.068,stable,22.910,95.845,129.391,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,3000.000,24000.000,32.000,256.000,104300.000,0.050,24000.000,0.012,1200.000,1.523,158.860,0.621,stable,32.248,0.126,57.702,0.050,stable,16.038,0.063,1,6.894,0.069,stable,23.121,98.742,133.301,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,3000.000,24000.000,32.000,256.000,104300.000,0.100,24000.000,0.023,2400.000,1.543,160.900,0.629,stable,32.248,0.126,62.003,0.100,stable,16.075,0.063,2,7.010,0.070,stable,23.389,102.535,138.422,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,3000.000,24000.000,32.000,256.000,104300.000,0.200,24000.000,0.046,4800.000,1.582,164.980,0.644,stable,32.248,0.126,70.605,0.200,stable,32.150,0.126,3,7.240,0.072,stable,23.946,110.755,149.519,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,3000.000,24000.000,32.000,256.000,104300.000,0.500,24000.000,0.115,12000.000,1.699,177.220,0.692,stable,32.248,0.126,96.410,0.500,stable,64.375,0.251,6,7.931,0.079,stable,25.804,141.899,191.564,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,3000.000,24000.000,32.000,256.000,104300.000,1.000,24000.000,0.230,24000.000,1.895,197.620,0.772,degraded,32.248,0.126,139.418,1.000,unstable,128.750,0.503,12,9.083,0.091,stable,inf,inf,inf,unstable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,4300.000,34400.000,32.000,256.000,104300.000,0.000,24000.000,0.000,0.000,1.504,156.820,0.613,stable,32.248,0.126,53.402,0.000,stable,0.000,0.000,0,6.779,0.068,stable,22.857,95.140,128.439,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,4300.000,34400.000,32.000,256.000,104300.000,0.010,24000.000,0.002,240.000,1.507,157.228,0.614,stable,32.248,0.126,54.262,0.007,stable,16.008,0.063,1,6.802,0.068,stable,22.910,95.845,129.391,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,4300.000,34400.000,32.000,256.000,104300.000,0.050,24000.000,0.012,1200.000,1.523,158.860,0.621,stable,32.248,0.126,57.702,0.035,stable,16.038,0.063,1,6.894,0.069,stable,23.121,98.742,133.301,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,4300.000,34400.000,32.000,256.000,104300.000,0.100,24000.000,0.023,2400.000,1.543,160.900,0.629,stable,32.248,0.126,62.003,0.070,stable,16.075,0.063,1,7.010,0.070,stable,23.389,102.535,138.422,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,4300.000,34400.000,32.000,256.000,104300.000,0.200,24000.000,0.046,4800.000,1.582,164.980,0.644,stable,32.248,0.126,70.605,0.140,stable,32.150,0.126,2,7.240,0.072,stable,23.946,110.754,149.518,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,4300.000,34400.000,32.000,256.000,104300.000,0.500,24000.000,0.115,12000.000,1.699,177.220,0.692,stable,32.248,0.126,96.410,0.349,stable,48.375,0.189,4,7.931,0.079,stable,25.801,141.883,191.542,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,4300.000,34400.000,32.000,256.000,104300.000,1.000,24000.000,0.230,24000.000,1.895,197.620,0.772,degraded,32.248,0.126,139.418,0.698,stable,96.750,0.378,8,9.083,0.091,stable,29.903,232.352,313.675,degraded,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,5000.000,40000.000,32.000,256.000,104300.000,0.000,24000.000,0.000,0.000,1.504,156.820,0.613,stable,32.248,0.126,53.402,0.000,stable,0.000,0.000,0,6.779,0.068,stable,22.857,95.140,128.439,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,5000.000,40000.000,32.000,256.000,104300.000,0.010,24000.000,0.002,240.000,1.507,157.228,0.614,stable,32.248,0.126,54.262,0.006,stable,16.008,0.063,1,6.802,0.068,stable,22.910,95.845,129.391,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,5000.000,40000.000,32.000,256.000,104300.000,0.050,24000.000,0.012,1200.000,1.523,158.860,0.621,stable,32.248,0.126,57.702,0.030,stable,16.038,0.063,1,6.894,0.069,stable,23.121,98.742,133.301,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,5000.000,40000.000,32.000,256.000,104300.000,0.100,24000.000,0.023,2400.000,1.543,160.900,0.629,stable,32.248,0.126,62.003,0.060,stable,16.075,0.063,1,7.010,0.070,stable,23.389,102.535,138.422,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,5000.000,40000.000,32.000,256.000,104300.000,0.200,24000.000,0.046,4800.000,1.582,164.980,0.644,stable,32.248,0.126,70.605,0.120,stable,16.150,0.063,2,7.240,0.072,stable,23.946,110.754,149.517,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,5000.000,40000.000,32.000,256.000,104300.000,0.500,24000.000,0.115,12000.000,1.699,177.220,0.692,stable,32.248,0.126,96.410,0.300,stable,48.375,0.189,4,7.931,0.079,stable,25.801,141.880,191.538,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,5000.000,40000.000,32.000,256.000,104300.000,1.000,24000.000,0.230,24000.000,1.895,197.620,0.772,degraded,32.248,0.126,139.418,0.600,stable,80.750,0.315,7,9.083,0.091,stable,29.896,232.299,313.604,degraded,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,8000.000,64000.000,32.000,256.000,104300.000,0.000,24000.000,0.000,0.000,1.504,156.820,0.613,stable,32.248,0.126,53.402,0.000,stable,0.000,0.000,0,6.779,0.068,stable,22.857,95.140,128.439,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,8.000,8000.000,64000.000,32.000,256.000,104300.000,0.010,24000.000,0.002,240.000,1.507,157.228,0.614,stable,32.248,0.126,54.262,0.004,stable,16.008,0.063,1,6.802,0.068,stable,22.910,95.845,129.391,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
