user_count,pdu_sessions_per_user,qwen3_npu_count,npu_hbm_per_npu_gb,qwen3_invocation_ratio,qwen3_input_tokens_per_request,qwen3_output_tokens_per_request,qwen3_tokens_per_request,qwen3_token_capacity_per_replica,qwen3_tensor_parallel_size,qwen3_available_replicas,qwen3_request_rps,qwen3_token_demand_tps,qwen3_raw_utilization,qwen3_effective_token_demand_tps,qwen3_nonlinear_multiplier,qwen3_cluster_token_capacity_tps,production_npu_total_hbm_gb,total_rps,intent_ratio,intent_candidate_rps,actual_total_intent_share,intent_rps,linear_cpu_ms_per_request,linear_cpu_utilization,cpu_nonlinear_multiplier,cpu_ms_per_request,cpu_core_demand,cpu_utilization,cpu_status,ram_gb,ram_utilization,memory_traffic_gbps,npu_utilization,npu_status,npu_hbm_gb,npu_hbm_utilization,linear_network_utilization,network_nonlinear_multiplier,network_bandwidth_gbps,network_utilization,network_status,system_status,initial_registration_per_user_per_hour,initial_registration_rps,periodic_registration_per_user_per_hour,periodic_registration_rps,mobility_registration_per_user_per_hour,mobility_registration_rps,initial_pdu_session_establishment_per_user_per_hour,initial_pdu_session_establishment_rps,pdu_session_release_per_user_per_hour,pdu_session_release_rps,pdu_session_modification_per_user_per_hour,pdu_session_modification_rps,service_request_per_user_per_hour,service_request_rps,an_release_per_user_per_hour,an_release_rps,handover_per_user_per_hour,handover_rps,paging_per_user_per_hour,paging_rps
3600000.000,2.000,128,32.000,0.100,2000.000,100.000,2100.000,15591.710,4,32,0.000,0.000,0.000,0.000,1.000,498934.720,4096.000,104300.000,0.000,104300.000,0.000,0.000,1.504,0.613,1.068,1.606,167.508,0.654,stable,44.732,0.175,53.402,0.000,stable,0.000,0.000,0.068,1.004,6.805,0.068,stable,stable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,128,32.000,0.100,2000.000,100.000,2100.000,15591.710,4,32,1043.000,2190300.000,4.390,6892143.500,3.147,498934.720,4096.000,104300.000,0.100,104300.000,0.100,10430.000,1.674,0.682,1.081,1.808,188.617,0.737,degraded,44.732,0.175,90.783,13.814,unstable,2048.033,0.500,0.078,1.004,7.815,0.078,stable,unstable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,128,32.000,0.100,2000.000,100.000,2100.000,15591.710,4,32,2086.000,4380600.000,8.780,40072285.164,9.148,498934.720,4096.000,104300.000,0.200,104300.000,0.200,20860.000,1.844,0.751,1.094,2.017,210.351,0.822,degraded,44.732,0.175,128.164,80.316,unstable,2048.065,0.500,0.088,1.005,8.827,0.088,stable,unstable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,128,32.000,0.100,2000.000,100.000,2100.000,15591.710,4,32,3129.000,6570900.000,13.170,124866891.736,19.003,498934.720,4096.000,104300.000,0.300,104300.000,0.300,31290.000,2.014,0.820,1.108,2.232,232.761,0.909,high_risk,44.732,0.175,165.545,250.267,unstable,2048.098,0.500,0.098,1.006,9.840,0.098,stable,unstable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,128,32.000,0.100,2000.000,100.000,2100.000,15591.710,4,32,4172.000,8761200.000,17.560,286602429.961,32.713,498934.720,4096.000,104300.000,0.400,104300.000,0.400,41720.000,2.184,0.890,1.124,2.453,255.899,1.000,high_risk,44.732,0.175,202.926,574.429,unstable,2048.130,0.500,0.108,1.007,10.855,0.109,stable,unstable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,128,32.000,0.100,2000.000,100.000,2100.000,15591.710,4,32,5215.000,10951500.000,21.950,550605366.586,50.277,498934.720,4096.000,104300.000,0.500,104300.000,0.500,52150.000,2.354,0.959,1.140,2.683,279.815,1.093,unstable,44.732,0.175,240.307,1103.562,unstable,2048.163,0.500,0.118,1.007,11.871,0.119,stable,unstable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,128,32.000,0.100,2000.000,100.000,2100.000,15591.710,4,32,6258.000,13141800.000,26.340,942202168.354,71.695,498934.720,4096.000,104300.000,0.600,104300.000,0.600,62580.000,2.524,1.028,1.157,2.920,304.560,1.190,unstable,44.732,0.175,277.688,1888.428,unstable,2048.196,0.500,0.128,1.008,12.890,0.129,stable,unstable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,128,32.000,0.100,2000.000,100.000,2100.000,15591.710,4,32,7301.000,15332100.000,30.730,1486719302.011,96.968,498934.720,4096.000,104300.000,0.700,104300.000,0.700,73010.000,2.694,1.097,1.175,3.166,330.186,1.290,unstable,44.732,0.175,315.069,2979.787,unstable,2048.228,0.500,0.138,1.009,13.909,0.139,stable,unstable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,128,32.000,0.100,2000.000,100.000,2100.000,15591.710,4,32,8344.000,17522400.000,35.120,2209483234.302,126.095,498934.720,4096.000,104300.000,0.800,104300.000,0.800,83440.000,2.864,1.167,1.194,3.420,356.743,1.394,unstable,44.732,0.175,352.451,4428.401,unstable,2048.261,0.500,0.148,1.010,14.931,0.149,stable,unstable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
3600000.000,2.000,128,32.000,0.100,2000.000,100.000,2100.000,15591.710,4,32,9387.000,19712700.000,39.510,3135820431.973,159.076,498934.720,4096.000,104300.000,0.900,104300.000,0.900,93870.000,3.034,1.236,1.215,3.684,384.282,1.501,unstable,44.732,0.175,389.832,6285.032,unstable,2048.293,0.500,0.158,1.010,15.955,0.160,stable,unstable,0.100,100.000,0.100,100.000,7.000,7000.000,1.000,1000.000,1.000,1000.000,2.000,2000.000,21.000,21000.000,35.000,35000.000,23.100,23100.000,14.000,14000.000
