user_count,pdu_sessions_per_user,qwen3_npu_count,npu_hbm_per_npu_gb,qwen3_invocation_ratio,qwen3_input_tokens_per_request,qwen3_output_tokens_per_request,qwen3_tokens_per_request,qwen3_token_capacity_per_replica,qwen3_tensor_parallel_size,qwen3_available_replicas,qwen3_request_rps,qwen3_token_demand_tps,qwen3_raw_utilization,qwen3_effective_token_demand_tps,qwen3_nonlinear_multiplier,qwen3_cluster_token_capacity_tps,production_npu_total_hbm_gb,total_rps,intent_ratio,intent_candidate_rps,actual_total_intent_share,intent_rps,linear_cpu_ms_per_request,linear_cpu_utilization,cpu_nonlinear_multiplier,cpu_ms_per_request,cpu_core_demand,cpu_utilization,cpu_status,ram_gb,ram_utilization,memory_traffic_gbps,npu_utilization,npu_status,npu_hbm_gb,npu_hbm_utilization,linear_network_utilization,network_nonlinear_multiplier,network_bandwidth_gbps,network_utilization,network_status,system_status,initial_registration_per_user_per_hour,initial_registration_rps,periodic_registration_per_user_per_hour,periodic_registration_rps,mobility_registration_per_user_per_hour,mobility_registration_rps,initial_pdu_session_establishment_per_user_per_hour,initial_pdu_session_establishment_rps,pdu_session_release_per_user_per_hour,pdu_session_release_rps,pdu_session_modification_per_user_per_hour,pdu_session_modification_rps,service_request_per_user_per_hour,service_request_rps,an_release_per_user_per_hour,an_release_rps,handover_per_user_per_hour,handover_rps,paging_per_user_per_hour,paging_rps
500000.000,2.000,128,32.000,0.100,128.000,4.000,132.000,15040.000,4,32,0.000,0.000,0.000,0.000,1.000,481280.000,4096.000,14486.111,0.000,14486.111,0.000,0.000,1.504,0.085,1.005,1.511,21.889,0.086,stable,33.768,0.132,7.417,0.000,stable,0.000,0.000,0.009,1.000,0.942,0.009,stable,stable,0.100,13.889,0.100,13.889,7.000,972.222,1.000,138.889,1.000,138.889,2.000,277.778,21.000,2916.667,35.000,4861.111,23.100,3208.333,14.000,1944.444
500000.000,2.000,128,32.000,0.100,128.000,4.000,132.000,15040.000,4,32,144.861,19121.667,0.040,19162.671,1.002,481280.000,4096.000,14486.111,0.100,14486.111,0.100,1448.611,1.674,0.095,1.006,1.683,24.380,0.095,stable,33.768,0.132,12.609,0.040,stable,2048.005,0.500,0.011,1.001,1.081,0.011,stable,stable,0.100,13.889,0.100,13.889,7.000,972.222,1.000,138.889,1.000,138.889,2.000,277.778,21.000,2916.667,35.000,4861.111,23.100,3208.333,14.000,1944.444
500000.000,2.000,128,32.000,0.100,128.000,4.000,132.000,15040.000,4,32,289.722,38243.333,0.079,38419.425,1.005,481280.000,4096.000,14486.111,0.200,14486.111,0.200,2897.222,1.844,0.104,1.006,1.855,26.874,0.105,stable,33.768,0.132,17.801,0.080,stable,2048.009,0.500,0.012,1.001,1.220,0.012,stable,stable,0.100,13.889,0.100,13.889,7.000,972.222,1.000,138.889,1.000,138.889,2.000,277.778,21.000,2916.667,35.000,4861.111,23.100,3208.333,14.000,1944.444
500000.000,2.000,128,32.000,0.100,128.000,4.000,132.000,15040.000,4,32,434.583,57365.000,0.119,57788.372,1.007,481280.000,4096.000,14486.111,0.300,14486.111,0.300,4345.833,2.014,0.114,1.007,2.028,29.373,0.115,stable,33.768,0.132,22.992,0.120,stable,2048.014,0.500,0.014,1.001,1.360,0.014,stable,stable,0.100,13.889,0.100,13.889,7.000,972.222,1.000,138.889,1.000,138.889,2.000,277.778,21.000,2916.667,35.000,4861.111,23.100,3208.333,14.000,1944.444
500000.000,2.000,128,32.000,0.100,128.000,4.000,132.000,15040.000,4,32,579.444,76486.667,0.159,77287.623,1.010,481280.000,4096.000,14486.111,0.400,14486.111,0.400,5794.444,2.184,0.124,1.008,2.200,31.875,0.125,stable,33.768,0.132,28.184,0.161,stable,2048.018,0.500,0.015,1.001,1.499,0.015,stable,stable,0.100,13.889,0.100,13.889,7.000,972.222,1.000,138.889,1.000,138.889,2.000,277.778,21.000,2916.667,35.000,4861.111,23.100,3208.333,14.000,1944.444
500000.000,2.000,128,32.000,0.100,128.000,4.000,132.000,15040.000,4,32,724.306,95608.333,0.199,96935.288,1.014,481280.000,4096.000,14486.111,0.500,14486.111,0.500,7243.056,2.354,0.133,1.008,2.373,34.381,0.134,stable,33.768,0.132,33.376,0.201,stable,2048.023,0.500,0.016,1.001,1.638,0.016,stable,stable,0.100,13.889,0.100,13.889,7.000,972.222,1.000,138.889,1.000,138.889,2.000,277.778,21.000,2916.667,35.000,4861.111,23.100,3208.333,14.000,1944.444
500000.000,2.000,128,32.000,0.100,128.000,4.000,132.000,15040.000,4,32,869.167,114730.000,0.238,116749.478,1.018,481280.000,4096.000,14486.111,0.600,14486.111,0.600,8691.667,2.524,0.143,1.009,2.547,36.892,0.144,stable,33.768,0.132,38.568,0.243,stable,2048.027,0.500,0.018,1.001,1.778,0.018,stable,stable,0.100,13.889,0.100,13.889,7.000,972.222,1.000,138.889,1.000,138.889,2.000,277.778,21.000,2916.667,35.000,4861.111,23.100,3208.333,14.000,1944.444
500000.000,2.000,128,32.000,0.100,128.000,4.000,132.000,15040.000,4,32,1014.028,133851.667,0.278,136748.304,1.022,481280.000,4096.000,14486.111,0.700,14486.111,0.700,10140.278,2.694,0.152,1.010,2.720,39.407,0.154,stable,33.768,0.132,43.760,0.284,stable,2048.032,0.500,0.019,1.001,1.917,0.019,stable,stable,0.100,13.889,0.100,13.889,7.000,972.222,1.000,138.889,1.000,138.889,2.000,277.778,21.000,2916.667,35.000,4861.111,23.100,3208.333,14.000,1944.444
500000.000,2.000,128,32.000,0.100,128.000,4.000,132.000,15040.000,4,32,1158.889,152973.333,0.318,156949.876,1.026,481280.000,4096.000,14486.111,0.800,14486.111,0.800,11588.889,2.864,0.162,1.011,2.894,41.927,0.164,stable,33.768,0.132,48.951,0.326,stable,2048.036,0.500,0.021,1.001,2.056,0.021,stable,stable,0.100,13.889,0.100,13.889,7.000,972.222,1.000,138.889,1.000,138.889,2.000,277.778,21.000,2916.667,35.000,4861.111,23.100,3208.333,14.000,1944.444
500000.000,2.000,128,32.000,0.100,128.000,4.000,132.000,15040.000,4,32,1303.750,172095.000,0.358,177372.305,1.031,481280.000,4096.000,14486.111,0.900,14486.111,0.900,13037.500,3.034,0.172,1.012,3.069,44.451,0.174,stable,33.768,0.132,54.143,0.369,stable,2048.041,0.500,0.022,1.001,2.196,0.022,stable,stable,0.100,13.889,0.100,13.889,7.000,972.222,1.000,138.889,1.000,138.889,2.000,277.778,21.000,2916.667,35.000,4861.111,23.100,3208.333,14.000,1944.444
